sprint,equipe,pv_sp,ev_sp,pv_reais,ev_reais,ac_reais,spi,cpi,eac,vac
S1,12,91,71,3907.9,3049.02,3907.9,0.78,0.78,50087.17,-11008.17
S2,10,122,87,7815.8,5573.56,7165.54,0.71,0.78,50241.14,-11162.14
S3,9,151,113,11723.7,8773.36,10098.05,0.75,0.87,44979.51,-5900.51
S4,9,176,127,15631.6,11279.62,13030.56,0.72,0.87,45145.25,-6066.25
S5,9,206,193,19539.5,18306.42,15963.07,0.94,1.15,34076.61,5002.39
S6,9,232,196,23447.4,19809.01,18895.58,0.84,1.05,37276.99,1802.01
S7,9,236,196,27355.3,22718.81,21828.09,0.83,1.04,37546.86,1532.14
S8,9,248,223,31263.2,28111.67,24760.6,0.9,1.14,34420.57,4658.43
S9,9,253,226,35171.1,31417.66,27693.11,0.89,1.13,34446.2,4632.8
S10,9,253,236,39079,36453.14,30625.62,0.93,1.19,32831.7,6247.3
